timestamp,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2024-08-22,19361901.0,417.7537,424.36,415.55,426.7899,414.61,385371,420.898,414.1985000000001
2024-08-23,18493784.0,416.0859,416.98,416.79,419.26,412.09,366474,420.562,413.7745
2024-08-26,13152830.0,413.7616,416.365,413.49,417.2799,411.34,330244,418.954,413.1125
2024-08-27,13492911.0,413.0336,412.86,413.84,414.36,410.25,286626,416.762,412.6585
2024-08-28,14882660.0,410.4105,414.88,410.6,415.0,407.31,329368,414.054,412.271
2024-08-29,17045241.0,416.249,414.94,413.12,422.05,410.6,355290,413.56800000000004,412.0715
2024-08-30,24308324.0,416.0141,415.6,417.14,417.49,412.13,314932,413.63800000000003,412.504
2024-09-03,20313603.0,411.6991,417.91,409.44,419.88,407.03,430855,412.828,413.21850000000006
2024-09-04,15135806.0,408.5297,405.91,408.9,411.24,404.37,359710,411.84,413.683
2024-09-05,14195516.0,408.724,407.62,408.39,413.1,406.13,330522,411.398,414.18100000000004
2024-09-06,19609526.0,402.8702,409.06,401.7,410.65,400.8,399098,409.114,414.1315000000001
2024-09-09,15295134.0,405.0266,407.24,405.72,408.65,402.15,339753,406.83,414.1165
2024-09-10,19594287.0,413.0725,408.2,414.2,416.33,407.7,366321,407.78200000000004,414.48600000000005
2024-09-11,19266923.0,418.9496,415.5,423.04,423.99,409.58,375561,410.61,414.9375
2024-09-12,17418759.0,424.5033,423.31,427.0,427.3692,419.75,366812,414.332,415.44449999999995
2024-09-13,15874555.0,429.756,425.825,430.59,431.83,425.46,318566,420.11,415.9225
2024-09-16,13834697.0,430.8632,430.6,431.34,433.53,428.22,348083,425.23400000000004,416.566
2024-09-17,18874231.0,436.4993,440.23,435.15,441.85,432.27,408698,429.424,417.247
2024-09-18,18898042.0,432.2288,435.0,430.81,436.03,430.41,372054,430.97799999999995,417.54749999999996
2024-09-19,21706559.0,438.9613,441.225,438.69,441.5,436.9,381618,433.316,418.275
2024-09-20,55167106.0,435.7181,437.22,435.27,439.24,434.22,336295,434.25200000000007,419.26099999999997
2024-09-23,15128891.0,433.7558,434.28,433.51,436.46,430.3889,295250,434.686,420.09700000000004
2024-09-24,17015754.0,429.1302,433.0,429.17,433.35,426.1,339671,433.48999999999995,420.88100000000003
2024-09-25,13396364.0,431.4952,429.83,432.11,433.119,428.57,285258,433.75,421.79449999999997
2024-09-26,14492044.0,431.1754,435.085,431.31,435.3,429.13,265509,432.274,422.83000000000004
2024-09-27,14896131.0,429.0284,431.52,428.02,431.85,427.47,285452,430.82399999999996,423.575
2024-09-30,16854606.0,428.7332,428.21,430.3,430.42,425.37,331755,430.18199999999996,424.233
2024-10-01,19092945.0,421.6867,428.45,420.69,428.48,418.81,426465,428.486,424.7955
2024-10-02,16582257.0,418.058,422.58,417.13,422.82,416.71,365271,425.48999999999995,425.207
2024-10-03,13686421.0,416.6199,417.63,416.54,419.55,414.29,315114,422.53600000000006,425.6145
2024-10-04,19190913.0,416.778,418.24,416.06,419.75,414.97,356081,420.14400000000006,426.3325
2024-10-07,20919761.0,412.0843,416.0,409.54,417.11,409.0,442060,415.992,426.52349999999996
2024-10-08,19229261.0,413.4927,410.9,414.71,415.66,408.17,314547,414.796,426.549
2024-10-09,14974257.0,417.5639,415.86,417.46,420.38,414.3,334168,414.86199999999997,426.27
2024-10-10,13848376.0,415.5643,415.225,415.84,417.35,413.15,304247,414.72200000000004,425.712
2024-10-11,14144944.0,415.5294,416.135,416.32,417.13,413.25,318356,414.774,424.9985
2024-10-14,16653086.0,420.1286,417.77,419.14,424.04,417.52,358012,416.69399999999996,424.3885
2024-10-15,18900201.0,418.323,422.18,418.74,422.48,415.26,375124,417.5,423.56800000000004
2024-10-16,15508932.0,414.8877,415.17,416.12,416.36,410.48,361156,417.23199999999997,422.8335
2024-10-17,14820004.0,417.3986,422.36,416.72,422.5,415.59,295684,417.408,421.735
2024-10-18,17145317.0,417.7168,417.14,418.16,419.65,416.2601,275277,417.776,420.8795
2024-10-21,14206115.0,417.1892,416.12,418.78,418.96,413.7501,321051,417.704,420.1429999999999
2024-10-22,25482197.0,426.7548,418.49,427.51,430.5793,418.04,447344,419.45799999999997,420.06000000000006
2024-10-23,19654379.0,426.5163,430.855,424.6,431.08,422.53,396249,421.154,419.6845
2024-10-24,13581631.0,424.6022,425.325,424.73,425.9782,422.4,276493,422.756,419.3555
2024-10-25,16899064.0,429.3305,426.76,428.15,432.52,426.565,342363,424.754,419.36199999999997
2024-10-28,14882444.0,428.0089,431.655,426.59,431.94,426.3,354173,426.316,419.1764999999999
2024-10-29,17644080.0,430.9784,428.0,431.95,433.17,425.8001,340970,427.204,419.7395
2024-10-30,29749149.0,434.1578,437.435,432.53,438.5,432.1,641185,428.78999999999996,420.5095
2024-10-31,53970981.0,408.9503,415.36,406.35,416.16,406.3,1064128,425.1139999999999,420.0
2024-11-01,24230442.0,411.4953,409.01,410.37,415.5,407.5,493621,421.558,419.71549999999996
2024-11-04,19672286.0,408.2891,409.8,408.46,410.415,405.5713,416117,417.93199999999996,419.6615
2024-11-05,17626011.0,412.1072,408.37,411.46,414.9,408.08,267936,413.834,419.49899999999997
2024-11-06,26681842.0,417.8694,412.42,420.18,420.45,410.52,533383,411.3639999999999,419.63499999999993
2024-11-07,19901782.0,424.4622,421.28,425.43,426.85,419.88,404175,415.18,420.1145
2024-11-08,16891414.0,423.3528,425.32,422.54,426.5,421.78,354091,417.61400000000003,420.4255
2024-11-11,24503321.0,418.9921,422.515,418.01,424.81,416.0,365322,419.524,420.369
2024-11-12,19401204.0,421.7267,418.25,423.03,424.44,417.2,340411,421.838,420.5835
2024-11-13,21502185.0,424.5944,421.64,425.2,429.325,418.21,341868,422.842,421.0375
2024-11-14,30246881.0,426.1542,425.0,426.89,428.17,420.0,380238,423.134,421.546
2024-11-15,28247644.0,416.3251,419.82,415.0,422.8,413.64,381330,421.62600000000003,421.38800000000003
2024-11-18,24742013.0,415.8283,414.87,415.76,418.4037,412.1,281885,421.17600000000004,421.23699999999997
2024-11-19,18133529.0,415.6886,413.11,417.79,417.94,411.55,276550,420.128,420.75100000000003
2024-11-20,19191655.0,414.6219,416.87,415.49,417.29,410.58,285466,418.18600000000004,420.2955
2024-11-21,20780162.0,413.6233,419.5,412.87,419.78,410.2887,335479,415.38199999999995,419.7025
2024-11-22,24814626.0,415.0652,411.365,417.0,417.4,411.06,284577,415.782,419.145
2024-11-25,27691090.0,417.9725,418.38,418.79,421.08,414.85,313167,416.38800000000003,418.755
2024-11-26,23458889.0,425.8962,419.585,427.99,429.0414,418.85,347123,418.42800000000005,418.55699999999996
2024-11-27,18332444.0,423.9028,425.105,422.99,427.2299,422.02,261034,419.92800000000005,418.08000000000004
2024-11-29,16271921.0,422.4302,420.09,423.46,424.8849,417.8,210576,422.046,418.93549999999993
2024-12-02,20207223.0,430.1369,421.57,430.98,433.0,421.31,334918,424.842,419.966
2024-12-03,18301987.0,430.7276,429.84,431.2,432.47,427.74,268208,427.32399999999996,421.10299999999995
2024-12-04,26009429.0,437.2166,433.03,437.42,439.67,432.63,350819,429.21000000000004,422.401
2024-12-05,21697775.0,441.7255,437.92,442.62,444.66,436.171,328792,433.13599999999997,423.52299999999997
